,MM021,MM023,MM025,MM026,MM027,MM028,MM033,MM036,MM037,MM039,MM042,MM044,MM046,MM047,MM048,MM049,MM051,MM053,MM058,MM059,MM061,MM062,MM065,MM067,MM069,MM070,MM072,MM075,MM077,MM078,MM079,MM081,MM082,MM084,MM089,MM092,MM094,MM103,MM106
MM065,0.023588277052135065,0.023684481545972122,0.024282976433937703,0.023674777507552508,0.02364373700758892,0.024540899129059456,0.02456879837787379,0.023997168837212673,0.023783772180030267,0.023623105199384258,0.023733180998682865,0.02362525862108018,0.02414870484592648,0.024422143899976052,0.024069928794649764,0.02437127254023514,0.023720258631184418,0.024246687217277185,0.023864297390173077,0.02388688685110725,0.024137459162019037,0.024914338952765548,0.5763984568239194,0.0241337296351657,0.025267078065402848,0.024488662438511055,0.026260147104720837,0.02454723795531223,0.024790262829627242,0.02397243554737789,0.025708808253165585,0.024489975160356444,0.024617552299854916,0.024737167821471007,0.02490732127087302,0.023895773402113747,0.024415549603045796,0.02402241168701299,0.023749454155825703
MM067,0.02431085403522857,0.024726972370760526,0.024564965806783242,0.02510875305709173,0.025563510113629843,0.023652513858145565,0.024573811774879536,0.024186681359469248,0.02388535575955581,0.024791450273181838,0.024555415916826286,0.024175554518966517,0.02429597139085483,0.023605751689717833,0.023941861269762513,0.024387867679025316,0.02417549245469168,0.02402728487113763,0.0245148407937538,0.023725510883370243,0.024882700905424132,0.02391786966312643,0.0241337296351657,0.5762011431115978,0.02361797789944681,0.025651225878969952,0.024105009417789452,0.02397976235347273,0.02426161517889271,0.024161715194213115,0.02362337257160227,0.02371085643222052,0.023672094905677364,0.024158134771887725,0.02380015430344841,0.024895764693060637,0.024648869410311622,0.024571398841676844,0.025359359186923062
MM069,0.02382193693678295,0.023578131378748528,0.02385289611857709,0.023602857634400252,0.023797905603788458,0.024663301022914814,0.024120661454122748,0.0240700715214247,0.023730796081386785,0.0235635497846408,0.023876811326912845,0.02373472896619782,0.023687122404071982,0.024682672284962792,0.024706827084957438,0.023790780298874555,0.023864066234762005,0.024284752398326278,0.023721655096172408,0.024547660227688638,0.0241701415447981,0.0244290368546319,0.025267078065402848,0.02361797789944681,0.5766806362383786,0.024390202196444413,0.02440202969520814,0.024975892102955977,0.024743962185467903,0.02483005213833339,0.025288343481908587,0.025198812760556966,0.024739631439562378,0.024337341093766847,0.02520379845431028,0.024373890162953483,0.024438136291746543,0.024547154265502774,0.02374354927070281
MM070,0.02424152866771203,0.02387403408623408,0.023810811259525028,0.0248525433083226,0.025021513943644675,0.02391245042178986,0.02414516723393763,0.024244599831939995,0.024083603273209284,0.02446504402123975,0.024029560606541694,0.023869016585125302,0.023759169872298747,0.023666554310815255,0.024015260240649504,0.024067516162632682,0.024672773964248468,0.02417574450460941,0.024640847480980048,0.024178989321886408,0.023877268300513718,0.023760268715479566,0.024488662438511055,0.025651225878969952,0.024390202196444413,0.5758135139356192,0.024508056002875405,0.02471196985566012,0.025330161249725175,0.024745814066357414,0.024032262337211056,0.02425810469323174,0.02430430326439074,0.023788333537535997,0.02435586495658782,0.024690771563017088,0.02508351945650075,0.024447312168949395,0.024629439042012917
MM072,0.023652920185592785,0.024021058684687905,0.023864983898006634,0.02371275618625638,0.023645004195728347,0.024679806375993603,0.024378303024716146,0.02358764240565208,0.024201489759033037,0.023702423056254168,0.024038994203988244,0.02360456381911833,0.024618201850083864,0.02439778712445433,0.02382854546940831,0.024740765398790915,0.023698625450760392,0.02393796791660599,0.02408441405605245,0.02377200918372013,0.024259585966070148,0.025034522269341122,0.026260147104720837,0.024105009417789452,0.02440202969520814,0.024508056002875405,0.5764183048529895,0.024297704310053812,0.02565077435294972,0.023837801689154014,0.025185418507383636,0.02433932078949246,0.024860944778075794,0.02502976949861327,0.023919812437502484,0.02438447528181835,0.024401009103723698,0.0242026530935499,0.024201051777712715
MM075,0.024208177980835417,0.023614484491522002,0.023785581907707277,0.024017323631028525,0.024205400700498567,0.024647700332330432,0.023675499427899906,0.024156757399061507,0.024208696475371667,0.02409295921446991,0.023654283675496247,0.02390580441428513,0.02414728808657106,0.02454778114426778,0.024484656791953573,0.024327190529617015,0.02401558462951592,0.02393454196622615,0.02409354877691759,0.024431145369757733,0.023784773726015035,0.025160745362044157,0.02454723795531223,0.02397976235347273,0.024975892102955977,0.02471196985566012,0.024297704310053812,0.5754649259956113,0.02485813368194118,0.024975029801673522,0.02557082738367113,0.025132766673266707,0.024857323103284097,0.024340695233551056,0.02464114706522375,0.02415247533333076,0.024746774383286332,0.023824671839515938,0.02411471906991141
MM077,0.024030679823658523,0.023609842480717035,0.02355246214646347,0.02383003060555263,0.02377212299212388,0.024435712173890255,0.023761884637746776,0.02367122851342382,0.024088694348340857,0.023692244094784164,0.023669788637996216,0.023621567768092995,0.02373672494913205,0.02407548486750777,0.024131068553340396,0.0239209739548171,0.024470563438465105,0.024259461953389114,0.024188153185922892,0.024241871016496115,0.02376440540172305,0.024140643463002175,0.024790262829627242,0.02426161517889271,0.024743962185467903,0.025330161249725175,0.02565077435294972,0.02485813368194118,0.5764210718523741,0.025168502671068443,0.02499441485835377,0.02478013556167412,0.024928036698530984,0.024436417995547993,0.02438473708767483,0.025046240526749954,0.024874633055859505,0.02399099651266457,0.02423658809950234
MM078,0.02414596859312918,0.02374728663871495,0.02370559791290159,0.024174872958451506,0.024015410498455216,0.023953311057713395,0.023780550636201256,0.024016106981442593,0.02371830044524319,0.023980981073962,0.02374104921683569,0.024068926968455848,0.02364462529961841,0.02371328983178482,0.024215000096464434,0.023701548857921455,0.024551855167279493,0.024450651089248363,0.02433244720899859,0.024247060218917933,0.02429701342929163,0.0239813582122687,0.02397243554737789,0.024161715194213115,0.02483005213833339,0.024745814066357414,0.023837801689154014,0.024975029801673522,0.025168502671068443,0.5769591059902212,0.024536154358810538,0.025192619984769137,0.024522956488634964,0.02401075784993864,0.025180907910506777,0.024858575677590523,0.024807848048955382,0.02464553011975775,0.02489953670874638
MM079,0.023658368865227607,0.023508565429895503,0.023686694036886467,0.023531940592345382,0.023589042353132233,0.02496817908225258,0.023678622580094767,0.0237938448633288,0.0237267602874212,0.023529451771268507,0.023640120747540475,0.023619963520274644,0.023843581669409773,0.024779298826861938,0.024328853050349427,0.023964488821235905,0.024047752652583174,0.02422260639795007,0.023736666288767472,0.02414774917832028,0.02404481727476652,0.02533848536768711,0.025708808253165585,0.02362337257160227,0.025288343481908587,0.024032262337211056,0.025185418507383636,0.02557082738367113,0.02499441485835377,0.024536154358810538,0.5764438085527563,0.02476585963768654,0.02495085055931926,0.0249862904581557,0.025375197796871942,0.023848035818431243,0.024705423061968823,0.023821393623442377,0.023743299684544236
MM081,0.023742060516680638,0.023724305854222333,0.023697427075647516,0.023686848022138753,0.023675454266646134,0.02392982300914269,0.023892528707475817,0.024081282128083505,0.023973337060711288,0.02394632296744647,0.02395224294255891,0.024237313488674476,0.0240965062491455,0.02389861930363635,0.024393155852949287,0.02407178677999923,0.024320410286295432,0.02442565043161028,0.02405846825188971,0.02434506211763495,0.02412019607221757,0.024206164508851234,0.024489975160356444,0.02371085643222052,0.025198812760556966,0.02425810469323174,0.02433932078949246,0.025132766673266707,0.02478013556167412,0.025192619984769137,0.02476585963768654,0.5763664039192126,0.025677010343604593,0.024589788493706608,0.024902556276437428,0.0241666401434906,0.024593398785420106,0.024695164828279374,0.024097745644598233
MM082,0.023641167850741055,0.023661316421749012,0.02362057713286287,0.023752996071611153,0.02363290530856137,0.024521998471856567,0.023910358293802864,0.023638335009869314,0.023909937617055566,0.023809881438360193,0.023704729347311854,0.0236731895078913,0.024339048673789866,0.024680539249731296,0.023999372594030257,0.024739199191240405,0.024274727250449206,0.024321389927208885,0.024249274031431504,0.024367242336137213,0.024043193437033747,0.024840634286518375,0.024617552299854916,0.023672094905677364,0.024739631439562378,0.02430430326439074,0.024860944778075794,0.024857323103284097,0.024928036698530984,0.024522956488634964,0.02495085055931926,0.025677010343604593,0.5761579870686243,0.02551784301730469,0.0243866611107107,0.02420486578046288,0.024400174917608278,0.024528310316696077,0.023893320183150064
MM084,0.02364770656282591,0.024138957172191756,0.023756375199521926,0.024055773873755605,0.023678689597600715,0.02503630119827746,0.024290498239645127,0.02361763048594632,0.023907808567895032,0.024075965641503307,0.024034144381381135,0.023785415425058107,0.02467428697134591,0.025240769009461914,0.02380672413341859,0.025149809686537627,0.024150404790916458,0.024261272259736757,0.02436618628016287,0.023882235891299737,0.024521138596453274,0.02546975007992853,0.024737167821471007,0.024158134771887725,0.024337341093766847,0.023788333537535997,0.02502976949861327,0.024340695233551056,0.024436417995547993,0.02401075784993864,0.0249862904581557,0.024589788493706608,0.02551784301730469,0.5752114305621576,0.024078641203070433,0.02450051512955658,0.024204971391612658,0.02450332736346813,0.024225421805285887
MM089,0.023678815487254194,0.02393101676996906,0.02433270677009627,0.023771736088386845,0.023683095470795758,0.02376299817120997,0.024131422570250964,0.02404332425414768,0.02356153584305625,0.023664584967415102,0.024116722430769864,0.02374127276008131,0.023604056877984794,0.02373032476231507,0.024194082182147688,0.023653878579497502,0.024130932907230798,0.025406957779145478,0.0239992358804319,0.024156820585479046,0.024813648113746964,0.024014153017175365,0.02490732127087302,0.02380015430344841,0.02520379845431028,0.02435586495658782,0.023919812437502484,0.02464114706522375,0.02438473708767483,0.025180907910506777,0.025375197796871942,0.024902556276437428,0.0243866611107107,0.024078641203070433,0.5766517825178022,0.02463434038630654,0.025692442878185097,0.024683608819773932,0.024226778813994362
MM092,0.024056868786960436,0.0243760709385357,0.023838757919340786,0.024651459939549494,0.024033471748118276,0.023878574907732895,0.024435851211968528,0.02370397586616415,0.024209778211777104,0.02424991015115463,0.024651367761312562,0.02373514790931526,0.024245192954325062,0.023771014272131012,0.023655674016372703,0.02435589262575791,0.023986195621453488,0.02399515122559577,0.024261169851119514,0.023660365013669082,0.024539617656113108,0.02448579654472257,0.023895773402113747,0.024895764693060637,0.024373890162953483,0.024690771563017088,0.02438447528181835,0.02415247533333076,0.025046240526749954,0.024858575677590523,0.023848035818431243,0.0241666401434906,0.02420486578046288,0.02450051512955658,0.02463434038630654,0.5765033088448812,0.024838955572511864,0.02508934458187392,0.025196179905736582
MM094,0.02415277382019857,0.023915525300649696,0.02425286285833504,0.024228715021368644,0.024111460655431464,0.023686468087383734,0.023814393609563323,0.023764249418279457,0.02365148718582271,0.023911794826585966,0.02423860860095009,0.023682687581252082,0.02365872033235958,0.023637196735405056,0.0240573266978982,0.023782104523826064,0.02394970078390702,0.024856697728132204,0.02407479149043375,0.023738637249461233,0.024486075868517018,0.02401547321123606,0.024415549603045796,0.024648869410311622,0.024438136291746543,0.02508351945650075,0.024401009103723698,0.024746774383286332,0.024874633055859505,0.024807848048955382,0.024705423061968823,0.024593398785420106,0.024400174917608278,0.024204971391612658,0.025692442878185097,0.024838955572511864,0.5766884888599411,0.024551817375028,0.024519096067436984
MM103,0.023731659484295207,0.024677471191924115,0.02433305329766077,0.02448413396107494,0.024097482821487673,0.02363418564989597,0.02500528301822988,0.023771804172143633,0.023751153054191905,0.024413086308554974,0.024830608751172677,0.023828256102814943,0.024350053045062922,0.023681007446028208,0.023954647539276768,0.024556593478478005,0.02395588534371238,0.02458265489071279,0.024974711846618446,0.02400529465852612,0.025802194023529373,0.024259139830623874,0.02402241168701299,0.024571398841676844,0.024547154265502774,0.024447312168949395,0.0242026530935499,0.023824671839515938,0.02399099651266457,0.02464553011975775,0.023821393623442377,0.024695164828279374,0.024528310316696077,0.02450332736346813,0.024683608819773932,0.02508934458187392,0.024551817375028,0.5748656911823129,0.02536690509150455
